trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,-3,-165.33269366936568,"{0: 18, 1: 5, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,-100,-500.67340312636816,"{0: 72, 1: 18, 2: 26, 3: 6, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-50,-384.308808420572,"{0: 38, 1: 9, 2: 21, 3: 5, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-100,-702.8886168075773,"{0: 65, 1: 15, 2: 28, 3: 2, 4: 10}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,-100,-640.3050683190173,"{0: 79, 1: 18, 2: 21, 3: 2, 4: 10}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,-100,-512.6991507411647,"{0: 75, 1: 21, 2: 20, 3: 2, 4: 7}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,-100,-943.4685695667287,"{0: 69, 1: 18, 2: 23, 3: 4, 4: 16}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,-77,-514.1303987519225,"{0: 58, 1: 15, 2: 16, 3: 8, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,-35,-327.06821488775097,"{0: 40, 1: 13, 2: 11, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,-65,-438.74944272582786,"{0: 56, 1: 6, 2: 19, 3: 3, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-53,-205.9546309716411,"{0: 51, 1: 4, 2: 15, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,-100,-715.9443419288966,"{0: 69, 1: 22, 2: 25, 3: 5, 4: 9}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,-2,-101.76614751690323,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-64,-368.2597957783071,"{0: 49, 1: 16, 2: 11, 3: 3, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,-7,-272.20385673675577,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-100,-421.75201584537155,"{0: 82, 1: 15, 2: 17, 3: 7, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-100,-768.1494049317736,"{0: 71, 1: 6, 2: 24, 3: 8, 4: 11}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,-100,-512.9447209252502,"{0: 74, 1: 19, 2: 28, 3: 6, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,-100,-720.2431356657025,"{0: 67, 1: 14, 2: 28, 3: 9, 4: 7}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,-57,-302.2564339170779,"{0: 58, 1: 11, 2: 11, 3: 3, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",20,-3,-73.55873088351501,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,-16,-156.8354277754395,"{0: 20, 1: 8, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,-100,-617.4888713021638,"{0: 72, 1: 8, 2: 28, 3: 5, 4: 7}",0
4,True,"{'a': 0, 'e': 0}",20,-100,-540.6383516029017,"{0: 68, 1: 22, 2: 19, 3: 5, 4: 6}",0
5,True,"{'a': 0, 'e': 0}",20,-62,-456.93977280667445,"{0: 44, 1: 14, 2: 16, 3: 2, 4: 6}",0
6,True,"{'a': 0, 'e': 0}",25,16,-47.36050132803873,"{0: 5, 1: 1, 2: 1, 3: 2, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,-100,-446.43614393346684,"{0: 77, 1: 9, 2: 26, 3: 4, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",25,-100,-632.2642538173853,"{0: 68, 1: 17, 2: 29, 3: 5, 4: 6}",0
9,True,"{'a': 0, 'e': 0}",25,-26,-347.785878052785,"{0: 24, 1: 7, 2: 14, 3: 2, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,-9,-46.89030468557715,"{0: 18, 1: 8, 2: 3, 3: 0, 4: 0}",0
