trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",30,-38,-399.7101922426054,"{0: 40, 1: 5, 2: 14, 3: 3, 4: 6}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",30,-21,-186.5794319397563,"{0: 30, 1: 9, 2: 9, 3: 1, 4: 2}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",25,-100,-736.2175208344488,"{0: 70, 1: 17, 2: 24, 3: 2, 4: 12}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",20,-11,-125.05751303527852,"{0: 22, 1: 5, 2: 1, 3: 0, 4: 3}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",20,-93,-645.0844735732514,"{0: 66, 1: 17, 2: 14, 3: 6, 4: 10}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",20,-6,-137.62683784086897,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",20,8,-21.03673132618235,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",20,-10,-161.0045212405876,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",25,-28,-492.2525166622321,"{0: 27, 1: 5, 2: 9, 3: 3, 4: 9}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359595}",25,-61,-351.95785696291887,"{0: 53, 1: 7, 2: 21, 3: 1, 4: 4}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",25,-58,-517.201075358703,"{0: 55, 1: 3, 2: 12, 3: 3, 4: 10}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",20,-51,-342.6312268024855,"{0: 48, 1: 6, 2: 7, 3: 4, 4: 6}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",30,15,-10.404211521699102,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",20,-78,-435.47878803328337,"{0: 61, 1: 6, 2: 20, 3: 7, 4: 4}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",20,-96,-531.8876706109863,"{0: 72, 1: 13, 2: 19, 3: 5, 4: 7}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",30,-42,-289.9317250703769,"{0: 45, 1: 9, 2: 13, 3: 1, 4: 4}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",20,-100,-464.16849580387765,"{0: 78, 1: 18, 2: 13, 3: 4, 4: 7}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",30,-26,-197.68923328477754,"{0: 38, 1: 4, 2: 9, 3: 3, 4: 2}",0
19,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",25,-100,-450.7830193995915,"{0: 85, 1: 9, 2: 21, 3: 4, 4: 6}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",20,15,3.5203049575703407,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.9792189645694596, 'e': 0.8105842459701871}",20,7,-24.748280751696242,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.97824023505121, 'e': 0.8025187979624785}",20,-45,-296.97514969527094,"{0: 42, 1: 4, 2: 13, 3: 1, 4: 5}",0
23,False,"{'a': 0.9772624837732771, 'e': 0.794533602503334}",20,-100,-311.70283956971343,"{0: 86, 1: 9, 2: 17, 3: 5, 4: 3}",0
24,False,"{'a': 0.9762857097579093, 'e': 0.7866278610665535}",20,11,-39.86567512818045,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.9753099120283326, 'e': 0.7788007830714049}",25,13,-11.876200933456616,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.9743350896087494, 'e': 0.7710515858035663}",20,-14,-47.41397556969716,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 0}",0
27,False,"{'a': 0.9733612415243368, 'e': 0.7633794943368531}",25,-100,-601.2545673544516,"{0: 77, 1: 11, 2: 21, 3: 9, 4: 7}",0
28,False,"{'a': 0.9723883668012469, 'e': 0.7557837414557255}",20,6,-68.38093711917666,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
29,False,"{'a': 0.9714164644666048, 'e': 0.7482635675785653}",35,-3,-190.5670042459204,"{0: 25, 1: 4, 2: 4, 3: 1, 4: 4}",0
30,False,"{'a': 0.9704455335485082, 'e': 0.7408182206817179}",25,-9,-103.49334261572679,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 1}",0
31,False,"{'a': 0.9694755730760259, 'e': 0.7334469562242892}",20,-22,-106.84025650706619,"{0: 33, 1: 1, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.9685065820791976, 'e': 0.7261490370736909}",20,-60,-316.2531605779566,"{0: 55, 1: 2, 2: 17, 3: 1, 4: 5}",0
33,False,"{'a': 0.967538559589032, 'e': 0.7189237334319262}",20,-8,-128.28671950266735,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 1}",0
34,False,"{'a': 0.9665715046375066, 'e': 0.7117703227626098}",30,4,-112.43659821849087,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 2}",1
35,False,"{'a': 0.9656054162575665, 'e': 0.7046880897187134}",25,10,-35.85045882451229,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
36,False,"{'a': 0.9646402934831231, 'e': 0.697676326071031}",25,-18,-38.234116506202184,"{0: 37, 1: 0, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.9636761353490535, 'e': 0.6907343306373547}",25,-57,-148.46301760185975,"{0: 58, 1: 11, 2: 11, 3: 0, 4: 2}",0
38,False,"{'a': 0.9627129408911995, 'e': 0.6838614092123558}",25,0,16.801965968696468,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.9617507091463667, 'e': 0.6770568744981647}",25,2,7.43371430343376,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.9607894391523232, 'e': 0.6703200460356393}",20,10,-39.46217022675881,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
41,False,"{'a': 0.9598291299477989, 'e': 0.6636502501363194}",20,14,-7.9700729519884295,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.9588697805724845, 'e': 0.6570468198150569}",20,8,-51.78516587939233,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
43,False,"{'a': 0.9579113900670306, 'e': 0.6505090947233165}",20,2,-117.16692708056213,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 2}",1
44,False,"{'a': 0.9569539574730467, 'e': 0.6440364210831414}",20,-6,-39.45926146000281,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.9559974818331, 'e': 0.6376281516217733}",25,-14,-259.8481530363973,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 5}",0
46,False,"{'a': 0.9550419621907147, 'e': 0.631283645506926}",20,-2,-7.531253294313496,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.9540873975903711, 'e': 0.6250022682827008}",20,-16,-17.189096995910305,"{0: 28, 1: 3, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.9531337870775047, 'e': 0.6187833918061408}",25,-54,-268.93748194742443,"{0: 58, 1: 6, 2: 5, 3: 6, 4: 4}",0
49,False,"{'a': 0.9521811296985049, 'e': 0.6126263941844161}",20,-50,-253.7848532521573,"{0: 46, 1: 11, 2: 7, 3: 2, 4: 4}",0
50,False,"{'a': 0.951229424500714, 'e': 0.6065306597126334}",25,-31,-115.53517660853105,"{0: 37, 1: 7, 2: 10, 3: 2, 4: 0}",0
51,False,"{'a': 0.950278670532427, 'e': 0.600495578812266}",35,13,-1.864011883578781,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.9493288668428895, 'e': 0.5945205479701944}",25,-13,-217.81505608326745,"{0: 25, 1: 4, 2: 4, 3: 0, 4: 5}",0
53,False,"{'a': 0.9483800124822982, 'e': 0.5886049696783552}",20,6,-4.02360711539375,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.9474321065017983, 'e': 0.5827482523739896}",25,-40,-59.26682103180894,"{0: 48, 1: 8, 2: 9, 3: 0, 4: 0}",0
55,False,"{'a': 0.9464851479534838, 'e': 0.5769498103804866}",25,3,-27.88377966901693,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.9455391358903963, 'e': 0.5712090638488149}",30,10,-52.27902200737645,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.9445940693665233, 'e': 0.5655254386995371}",25,20,8.566387181808052,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.9436499474367985, 'e': 0.559898366565402}",20,16,8.441930939724019,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.9427067691570997, 'e': 0.5543272847345071}",25,-22,-131.67303711041106,"{0: 37, 1: 1, 2: 4, 3: 3, 4: 2}",0
60,False,"{'a': 0.9417645335842487, 'e': 0.5488116360940265}",25,12,-24.793190552856455,"{0: 9, 1: 3, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.9408232397760097, 'e': 0.5433508690744998}",20,9,-3.336003304245269,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",20,0,-15.253006879393444,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
63,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",20,-7,-93.28971497873302,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",25,4,-56.25382366089686,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
65,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",20,-9,-37.859141946213526,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916993}",20,9,-15.8438430796366,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",25,-11,-118.70829210304923,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 2}",0
68,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655897}",30,-19,-51.98507856940289,"{0: 38, 1: 3, 2: 6, 3: 2, 4: 0}",0
69,False,"{'a': 0.933326680078202, 'e': 0.5015760690660556}",25,9,1.9450549262879477,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.9323938199059483, 'e': 0.4965853037914095}",25,11,-43.50293549501624,"{0: 9, 1: 2, 2: 1, 3: 2, 4: 0}",1
71,False,"{'a': 0.9314618921275921, 'e': 0.49164419746096516}",35,3,-11.088826101355076,"{0: 29, 1: 0, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",35,-21,-36.626225714309925,"{0: 47, 1: 2, 2: 6, 3: 0, 4: 1}",0
73,False,"{'a': 0.9296008300257927, 'e': 0.48190899009020244}",30,-2,-59.47270267358218,"{0: 24, 1: 2, 2: 5, 3: 0, 4: 1}",0
74,False,"{'a': 0.9286716938412872, 'e': 0.47711391552103444}",20,0,-45.96925251110629,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
75,False,"{'a': 0.9277434863285529, 'e': 0.47236655274101474}",20,-28,-10.934679456603327,"{0: 41, 1: 1, 2: 4, 3: 2, 4: 0}",0
