trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 1.0}",25,-10,-200.6577466,"{0: 17, 1: 6, 2: 8, 3: 2, 4: 2}",0
2,FALSE,"{'a': 0.5, 'e': 1.0}",20,-100,-870.8422597,"{0: 58, 1: 16, 2: 26, 3: 10, 4: 10}",0
3,FALSE,"{'a': 0.5, 'e': 1.0}",20,-29,-234.018123,"{0: 28, 1: 8, 2: 7, 3: 4, 4: 2}",0
4,FALSE,"{'a': 0.5, 'e': 1.0}",25,-31,-283.7678396,"{0: 36, 1: 4, 2: 9, 3: 3, 4: 4}",0
5,FALSE,"{'a': 0.5, 'e': 1.0}",20,-100,-537.1462853,"{0: 74, 1: 12, 2: 23, 3: 4, 4: 7}",0
6,FALSE,"{'a': 0.5, 'e': 1.0}",20,-88,-683.9715676,"{0: 58, 1: 12, 2: 23, 3: 6, 4: 9}",0
7,FALSE,"{'a': 0.5, 'e': 1.0}",20,-22,-278.7181379,"{0: 19, 1: 7, 2: 9, 3: 5, 4: 2}",0
8,FALSE,"{'a': 0.5, 'e': 1.0}",20,-100,-636.6345703,"{0: 60, 1: 26, 2: 24, 3: 2, 4: 8}",0
9,FALSE,"{'a': 0.5, 'e': 1.0}",25,2,-76.94344136,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 2}",1
10,FALSE,"{'a': 0.5, 'e': 1.0}",30,-100,-596.2487207,"{0: 82, 1: 14, 2: 21, 3: 4, 4: 9}",0
11,FALSE,"{'a': 0.5, 'e': 1.0}",30,-100,-742.6954164,"{0: 75, 1: 16, 2: 23, 3: 6, 4: 10}",0
12,FALSE,"{'a': 0.5, 'e': 1.0}",25,-34,-215.9144805,"{0: 39, 1: 6, 2: 10, 3: 1, 4: 3}",0
13,FALSE,"{'a': 0.5, 'e': 1.0}",20,-100,-704.4318478,"{0: 71, 1: 12, 2: 21, 3: 5, 4: 11}",0
14,FALSE,"{'a': 0.5, 'e': 1.0}",20,4,-106.4855261,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 2}",1
15,FALSE,"{'a': 0.5, 'e': 1.0}",25,-17,-399.1769886,"{0: 20, 1: 4, 2: 9, 3: 2, 4: 7}",0
16,FALSE,"{'a': 0.5, 'e': 1.0}",25,-37,-566.1634927,"{0: 34, 1: 5, 2: 9, 3: 3, 4: 11}",0
17,FALSE,"{'a': 0.5, 'e': 1.0}",30,-54,-479.5574234,"{0: 41, 1: 12, 2: 22, 3: 5, 4: 4}",0
18,FALSE,"{'a': 0.5, 'e': 1.0}",25,-100,-644.2238161,"{0: 70, 1: 9, 2: 32, 3: 9, 4: 5}",0
19,FALSE,"{'a': 0.5, 'e': 1.0}",30,-58,-475.3145839,"{0: 51, 1: 13, 2: 14, 3: 3, 4: 7}",0
20,FALSE,"{'a': 0.5, 'e': 1.0}",25,-100,-906.9289051,"{0: 68, 1: 13, 2: 23, 3: 7, 4: 14}",0
1,TRUE,"{'a': 0.5, 'e': 1.0}",30,-100,-719.8155398,"{0: 75, 1: 12, 2: 28, 3: 6, 4: 9}",0
